DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-11 09:00:00,9.57,66.13,0.085,67.35,60.83,25403.5443,15012.76596,11624.09639
2017-01-19 01:00:00,14.65,69.85,0.295,0.04,0.082,24370.63291,16482.67477,15961.44578
2017-01-01 19:00:00,12.51,68.35,0.077,0.055,0.085,39991.89873,24477.81155,25989.39759
2017-01-14 10:00:00,12.62,75.3,0.083,134.1,118.8,30677.46835,18521.58055,14694.93976
2017-01-14 20:00:00,14.07,75.4,0.074,0.033,0.104,41529.11392,25247.41641,25850.60241
2017-01-03 08:00:00,8.85,82.7,0.082,0.146,0.223,23884.55696,15957.44681,11780.24096
2017-01-13 13:00:00,16.14,76.4,0.07,236.7,241.2,32943.79747,20837.68997,16256.38554
2017-01-10 13:00:00,16.09,63.45,0.074,475.0,138.3,35355.94937,21195.13678,16360.48193
2017-01-14 19:00:00,15.84,72.3,0.073,0.07,0.111,42063.79747,25557.44681,25902.6506
2017-01-06 12:00:00,13.69,68.08,0.085,210.0,197.0,32943.79747,21990.27356,16476.14458
2017-01-06 17:00:00,15.18,69.12,0.084,62.09,62.59,32828.35443,21727.65957,17222.16867
2017-01-18 15:00:00,14.64,48.41,0.08,223.4,231.6,37725.56962,24313.67781,19298.31325
2017-01-14 23:00:00,13.24,82.0,0.084,0.073,0.108,34511.39241,21136.77812,22080.0
2017-01-02 01:00:00,10.94,78.1,0.074,0.084,0.108,23629.36709,15720.36474,15643.37349
2017-01-20 08:00:00,11.79,52.19,0.077,0.113,0.178,23787.34177,15968.38906,11068.91566
2017-01-12 17:00:00,16.3,74.3,0.069,104.3,111.9,33107.8481,20582.37082,16857.83133
2017-01-11 07:00:00,9.21,79.4,0.083,0.062,0.141,22474.93671,13130.69909,13150.84337
2017-01-10 21:00:00,11.31,84.1,0.083,0.062,0.108,41960.50633,25874.77204,25168.19277
2017-01-05 21:00:00,10.85,78.6,0.077,0.055,0.104,41924.05063,26571.42857,25370.60241
2017-01-02 18:00:00,14.54,64.02,0.074,11.04,11.2,41644.55696,27206.07903,25497.83133
2017-01-10 04:00:00,14.4,79.1,0.08,0.048,0.156,21843.03797,13137.99392,13590.36145
2017-01-08 08:00:00,13.3,68.71,0.099,0.113,0.178,20117.46835,11704.55927,10560.0
2017-01-14 08:00:00,12.04,77.8,0.083,0.081,0.178,23380.25316,13356.83891,11346.50602
2017-01-07 09:00:00,8.43,83.9,0.085,76.5,51.8,26679.49367,16526.44377,12861.68675
2017-01-10 15:00:00,16.05,64.29,0.075,160.1,132.6,34237.97468,21162.31003,16701.68675
2017-01-10 11:00:00,15.43,67.69,0.077,356.5,73.3,33569.62025,20192.09726,16042.40964
2017-01-18 09:00:00,13.42,47.78,0.084,35.45,36.21,28994.43038,18401.21581,13509.39759
2017-01-09 11:00:00,16.31,59.82,0.074,417.0,142.9,32755.44304,19878.41945,15221.20482
2017-01-06 06:00:00,8.72,86.8,0.084,0.07,0.111,23580.75949,15807.90274,15267.46988
2017-01-14 17:00:00,18.17,62.15,0.087,77.3,80.4,31892.65823,19473.55623,17008.19277
2017-01-02 07:00:00,9.17,85.8,0.078,0.073,0.163,23380.25316,15607.29483,14400.0
2017-01-05 17:00:00,16.58,54.96,0.076,126.4,150.3,32463.79747,21512.46201,17204.81928
2017-01-20 14:00:00,13.02,54.06,0.08,50.37,51.66,35690.12658,22657.75076,16273.73494
2017-01-12 07:00:00,11.59,69.31,0.074,0.026,0.163,25093.67089,16168.99696,14585.06024
2017-01-06 20:00:00,13.41,75.0,0.083,0.022,0.111,41516.96203,26527.65957,25451.56627
2017-01-03 09:00:00,8.4,85.3,0.082,64.8,27.42,27135.18987,18032.82675,13110.36145
2017-01-09 00:00:00,15.11,71.3,0.076,0.033,0.156,27268.86076,17387.23404,17898.79518
2017-01-02 00:00:00,11.01,75.8,0.076,0.033,0.163,26703.79747,18047.41641,17916.14458
2017-01-01 17:00:00,15.44,59.07,0.076,165.8,201.7,29723.5443,17708.20669,17719.51807
2017-01-12 01:00:00,10.4,72.9,0.085,0.055,0.122,25616.20253,16066.8693,15967.22892
2017-01-03 18:00:00,14.32,69.56,0.075,11.76,11.93,42495.18987,27209.72644,25347.46988
2017-01-09 16:00:00,16.3,69.26,0.073,183.7,188.0,31522.02532,20203.03951,16256.38554
2017-01-20 23:00:00,9.94,71.4,0.088,0.051,0.119,36874.93671,23748.32827,22883.85542
2017-01-04 22:00:00,10.96,73.9,0.084,0.077,0.148,38357.46835,24897.26444,24306.50602
2017-01-11 13:00:00,18.24,50.35,0.083,456.5,135.4,33691.13924,20239.51368,16886.74699
2017-01-12 02:00:00,10.01,76.5,0.086,0.084,0.137,23659.74684,14527.65957,15018.79518
2017-01-01 23:00:00,12.11,69.94,0.074,0.088,0.082,32117.46835,21253.49544,20686.26506
2017-01-10 06:00:00,14.33,79.4,0.081,0.04,0.115,24212.65823,14943.46505,14723.85542
2017-01-11 21:00:00,13.79,74.0,0.084,0.051,0.171,42282.53165,25827.35562,25266.50602
2017-01-18 18:00:00,14.88,52.75,0.082,14.17,14.61,44056.70886,29584.19453,27498.79518
2017-01-01 05:00:00,4.934,72.9,0.082,0.055,0.134,20542.78481,12806.07903,14243.85542
2017-01-05 20:00:00,11.86,72.8,0.076,0.055,0.108,42914.43038,26815.80547,25480.48193
2017-01-02 21:00:00,13.47,66.99,0.074,0.048,0.078,40830.37975,26564.13374,25619.27711
2017-01-01 16:00:00,15.33,59.23,0.077,209.1,128.9,28836.4557,17646.20061,16256.38554
2017-01-20 06:00:00,10.09,62.24,2.981,0.095,0.082,24157.97468,15709.42249,14839.51807
2017-01-15 21:00:00,16.04,61.98,0.084,0.051,0.1,41255.6962,25218.23708,25353.25301
2017-01-01 03:00:00,5.169,77.9,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096
2017-01-10 02:00:00,14.59,78.9,0.08,0.048,0.152,22906.32911,13790.88146,14174.45783
2017-01-17 21:00:00,10.66,63.81,0.087,0.091,0.104,43078.48101,26866.8693,25399.51807
2017-01-03 12:00:00,15.28,64.43,0.074,452.5,44.71,33168.60759,21508.81459,16285.3012
2017-01-05 14:00:00,17.25,57.33,0.081,470.4,62.08,33022.78481,21567.17325,17002.40964
2017-01-14 06:00:00,15.18,61.48,0.079,0.099,0.115,24607.59494,14819.45289,14908.91566
2017-01-18 20:00:00,14.89,55.13,0.083,0.055,0.152,43260.75949,28847.41641,26504.09639
2017-01-02 05:00:00,10.03,83.8,0.08,0.029,0.163,20257.21519,13517.32523,13642.40964
2017-01-19 05:00:00,12.39,84.0,0.082,0.055,0.189,21174.68354,13911.2462,14157.10843
2017-01-20 15:00:00,11.82,64.01,0.079,74.3,76.8,35161.51899,22220.06079,16302.6506
2017-01-02 02:00:00,10.86,80.0,0.076,0.066,0.159,21533.16456,14294.22492,14405.78313
2017-01-01 07:00:00,4.304,76.0,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819
2017-01-19 21:00:00,10.96,57.73,0.083,0.044,0.07,44135.6962,28748.93617,26527.22892
2017-01-05 12:00:00,13.33,61.37,0.084,459.9,46.63,32682.53165,21085.71429,16163.85542
2017-01-02 13:00:00,15.23,60.53,0.076,487.1,44.09,29966.58228,19593.92097,18997.59036
2017-01-07 13:00:00,15.04,64.71,0.078,333.3,211.5,33460.25316,21293.61702,17332.04819
2017-01-21 09:00:00,9.63,63.67,0.079,103.7,102.5,27031.89873,16924.01216,12971.56627
2017-01-05 22:00:00,10.58,81.6,0.082,0.062,0.089,38321.01266,24977.5076,24532.04819
2017-01-05 18:00:00,15.15,61.53,0.083,17.81,18.68,43248.60759,27384.80243,25416.86747
2017-01-08 07:00:00,13.54,68.61,0.092,0.088,0.145,20785.82278,12488.7538,13867.95181
2017-01-16 13:00:00,12.41,57.64,0.08,216.3,216.2,35173.67089,21702.12766,16470.36145
2017-01-08 13:00:00,16.18,55.73,0.076,230.3,105.1,33484.55696,16584.80243,17453.49398
2017-01-07 00:00:00,12.48,74.8,0.083,0.055,0.141,28927.59494,18875.37994,18529.15663
2017-01-16 09:00:00,12.13,80.1,0.079,22.42,22.83,26977.21519,18065.6535,12641.92771
2017-01-17 06:00:00,9.87,74.2,0.079,0.095,0.119,24273.41772,15271.73252,15024.57831
2017-01-09 03:00:00,15.02,70.2,0.075,0.062,0.145,21095.6962,12711.2462,13983.61446
2017-01-17 20:00:00,11.22,63.17,0.086,0.04,0.145,43813.67089,26826.74772,25804.33735
2017-01-12 11:00:00,16.92,64.47,0.077,199.9,190.7,34256.20253,21516.10942,14914.6988
2017-01-19 22:00:00,11.26,53.99,0.089,0.081,0.056,40435.44304,26436.47416,25087.22892
2017-01-06 21:00:00,12.53,78.0,0.085,0.07,0.122,41334.68354,26348.93617,25411.08434
2017-01-16 05:00:00,12.84,84.4,0.075,0.059,0.148,21466.32911,13345.89666,14087.71084
2017-01-03 19:00:00,11.85,78.2,0.074,0.066,0.111,42434.43038,27217.02128,25740.72289
2017-01-09 18:00:00,15.46,72.5,0.069,6.705,7.08,43254.68354,26793.92097,25069.87952
2017-01-08 00:00:00,14.07,78.2,0.081,0.048,0.13,28332.1519,18386.62614,19032.28916
2017-01-21 13:00:00,12.43,60.2,0.086,554.1,599.6,35143.29114,21804.25532,17592.28916
2017-01-16 15:00:00,13.43,45.03,0.081,448.0,506.2,33253.67089,21483.28267,16828.91566
2017-01-17 16:00:00,13.93,48.18,0.084,198.4,217.2,32858.73418,20801.21581,16377.83133
2017-01-12 08:00:00,10.85,77.8,0.076,0.081,0.126,24692.65823,15592.70517,11479.51807
2017-01-05 13:00:00,16.26,57.93,0.084,494.6,53.51,33514.93671,21724.01216,17002.40964
2017-01-11 08:00:00,10.17,66.83,0.085,0.135,0.134,21843.03797,12919.14894,10265.06024
2017-01-07 01:00:00,11.95,77.0,0.089,0.059,0.145,24923.5443,16431.61094,16181.20482
2017-01-04 20:00:00,13.8,66.7,0.086,0.095,0.082,42197.46835,27118.54103,25497.83133
2017-01-07 08:00:00,8.36,84.8,0.097,0.073,0.223,23021.77215,14064.43769,10959.03614
2017-01-16 07:00:00,12.3,84.3,0.08,0.084,0.156,24905.31646,15632.82675,14666.0241
2017-01-20 11:00:00,13.29,48.01,4.913,395.3,414.3,33648.60759,22128.87538,15649.15663
2017-01-04 11:00:00,8.01,79.8,0.088,354.4,40.51,31485.56962,21734.95441,15892.04819
2017-01-11 05:00:00,9.59,80.7,0.085,0.088,0.1,22310.88608,13090.57751,13706.0241
2017-01-07 21:00:00,12.93,76.4,0.076,0.059,0.134,40265.31646,24970.21277,25601.92771
2017-01-07 19:00:00,12.63,77.0,0.079,0.059,0.1,41480.50633,25882.06687,25908.43373
2017-01-09 07:00:00,14.9,67.27,0.076,0.084,0.115,23003.5443,15063.82979,14544.57831
2017-01-10 12:00:00,15.73,65.62,0.073,420.7,114.5,34292.65823,20866.8693,16036.62651
2017-01-04 02:00:00,8.13,81.2,0.075,0.059,0.119,22450.63291,14144.68085,14775.90361
2017-01-20 22:00:00,10.18,70.9,0.081,0.037,0.122,41778.22785,26917.93313,25370.60241
2017-01-15 22:00:00,16.18,55.81,0.08,0.077,0.1,38849.62025,23905.16717,23953.73494
2017-01-11 10:00:00,10.42,64.57,0.085,218.6,56.99,29176.70886,17766.56535,14186.0241
2017-01-05 23:00:00,10.0,82.7,0.085,0.07,0.122,34177.21519,22303.95137,21709.87952
2017-01-13 22:00:00,12.97,85.6,0.071,0.055,0.111,38321.01266,24000.0,23508.43373
2017-01-13 11:00:00,15.45,81.7,0.07,133.5,135.6,32913.41772,22012.15805,13659.75904
2017-01-11 15:00:00,19.02,44.17,0.087,391.9,332.0,32816.20253,20170.21277,16522.40964
2017-01-15 18:00:00,17.45,54.44,0.084,25.0,25.68,40180.25316,23664.43769,24688.19277
2017-01-17 15:00:00,14.23,46.54,0.083,469.6,528.0,33709.36709,19623.1003,18083.85542
2017-01-10 09:00:00,11.54,80.1,0.074,25.28,24.26,27997.97468,17095.44073,12670.84337
2017-01-15 17:00:00,17.92,53.67,0.083,78.9,83.7,29972.65823,17237.68997,17112.28916
2017-01-10 18:00:00,15.06,71.4,0.079,16.86,17.78,44263.29114,26640.72948,25573.01205
2017-01-16 22:00:00,11.21,64.72,0.087,0.062,0.119,35896.70886,24776.8997,24069.39759
2017-01-12 10:00:00,15.22,74.2,0.074,108.2,98.6,32147.8481,19969.60486,13515.18072
2017-01-02 12:00:00,15.21,55.69,0.077,452.5,41.73,28939.74684,20757.44681,16742.16867
2017-01-09 04:00:00,14.88,72.1,0.075,0.066,0.134,20615.6962,12612.76596,13792.77108
2017-01-06 19:00:00,13.97,74.4,0.085,0.084,0.082,42404.05063,26866.8693,25127.71084
2017-01-16 04:00:00,17.01,53.64,0.081,0.048,0.108,19443.03797,13283.89058,14162.89157
2017-01-11 04:00:00,9.23,85.3,0.087,0.055,0.126,22055.6962,13013.98176,13625.06024
2017-01-19 07:00:00,11.01,80.7,0.079,0.059,0.174,24303.79747,15826.13982,14851.08434
2017-01-12 22:00:00,15.15,83.3,0.077,0.048,0.137,39305.31646,24452.27964,23791.80723
2017-01-03 11:00:00,14.54,69.24,0.084,361.2,43.97,32749.36709,21155.0152,15388.91566
2017-01-05 15:00:00,18.06,54.26,0.087,392.7,70.2,32135.6962,21315.50152,16684.33735
2017-01-04 17:00:00,17.57,60.33,0.076,134.8,165.7,32166.07595,21432.21884,17395.66265
2017-01-19 04:00:00,12.96,84.6,0.077,0.066,0.115,21034.93671,13951.36778,14214.93976
2017-01-01 06:00:00,4.308,77.2,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566
2017-01-16 00:00:00,15.99,58.21,0.081,0.044,0.126,28666.32911,17985.41033,17921.92771
2017-01-15 10:00:00,11.55,86.1,0.082,199.4,161.8,20974.17722,20498.48024,14579.27711
2017-01-15 02:00:00,10.62,86.8,0.081,0.062,0.13,17924.05063,17927.05167,14874.21687
2017-01-07 14:00:00,14.74,62.27,0.077,182.6,171.7,32761.51899,20622.4924,17314.6988
2017-01-07 06:00:00,9.06,83.8,0.09,0.051,0.137,23434.93671,15505.16717,15597.10843
2017-01-08 09:00:00,13.2,69.08,0.093,51.31,36.6,22888.10127,13331.30699,12352.77108
2017-01-17 09:00:00,9.32,76.2,0.084,81.1,78.7,28259.24051,17069.90881,12560.96386
2017-01-08 16:00:00,15.78,60.63,0.075,191.5,200.8,31181.77215,16355.0152,16869.39759
2017-01-19 17:00:00,11.99,57.3,0.082,31.44,31.95,36522.53165,23110.0304,17979.75904
2017-01-01 10:00:00,5.124,73.7,0.076,234.8,29.23,25275.94937,15238.90578,14162.89157
2017-01-16 20:00:00,12.66,53.7,0.08,0.073,0.141,42647.08861,26509.42249,25121.92771
2017-01-05 07:00:00,5.973,80.6,0.089,0.066,0.141,24431.39241,15953.79939,14845.3012
2017-01-04 09:00:00,4.872,87.2,0.088,70.5,26.46,26849.62025,18040.12158,13416.86747
2017-01-02 14:00:00,15.56,56.03,0.075,470.9,42.8,28672.40506,19517.32523,18714.21687
2017-01-14 02:00:00,14.31,79.8,0.087,0.059,0.115,23428.86076,14002.43161,14561.92771
2017-01-07 23:00:00,13.08,78.9,0.078,0.055,0.13,33812.65823,21125.83587,22074.21687
2017-01-20 13:00:00,13.92,45.31,0.082,157.8,158.9,34110.37975,22471.73252,16453.01205
2017-01-13 08:00:00,12.82,83.7,0.075,0.07,0.148,24540.75949,15217.02128,10768.19277
2017-01-20 18:00:00,12.32,71.6,0.086,12.08,12.87,41419.74684,27315.50152,24821.20482
2017-01-09 06:00:00,14.93,69.1,0.074,0.055,0.152,22359.49367,14637.08207,15279.03614
2017-01-13 09:00:00,13.03,83.5,0.069,14.89,15.14,27530.12658,17551.36778,12404.81928
2017-01-18 08:00:00,13.35,47.78,0.084,0.113,0.082,25597.97468,16154.40729,11791.80723
2017-01-07 02:00:00,11.32,78.9,0.09,0.051,0.13,23027.8481,14753.79939,14856.86747
2017-01-17 08:00:00,9.44,75.7,0.084,0.132,0.137,24492.1519,15297.26444,11161.44578
2017-01-07 03:00:00,10.71,82.0,0.088,0.044,0.137,21873.41772,14009.72644,14463.61446
2017-01-19 15:00:00,11.56,60.8,0.083,97.0,100.3,35714.43038,23048.02432,17765.78313
2017-01-12 23:00:00,15.18,83.6,0.075,0.04,0.093,34553.92405,21384.80243,21235.66265
2017-01-06 03:00:00,8.38,87.0,0.087,0.059,0.152,21988.86076,13947.72036,14209.15663
2017-01-16 08:00:00,11.31,84.3,0.078,0.095,0.204,24249.11392,15570.82067,11398.55422
2017-01-05 00:00:00,9.0,79.7,0.085,0.048,0.119,27663.79747,18948.32827,18344.09639
2017-01-06 23:00:00,12.28,78.1,0.085,0.037,0.167,33551.39241,22154.40729,21495.90361
2017-01-10 23:00:00,10.41,86.2,0.086,0.077,0.126,34699.74684,21056.53495,20986.98795
2017-01-19 10:00:00,10.16,72.6,0.08,106.8,106.1,30908.35443,19787.23404,14440.48193
2017-01-05 01:00:00,8.39,80.1,0.084,0.091,0.108,24121.51899,16245.59271,16001.92771
2017-01-17 23:00:00,10.61,63.04,0.088,0.077,0.093,33703.29114,21435.86626,20934.93976
2017-01-06 02:00:00,8.31,86.6,0.085,0.077,0.171,23052.1519,14837.68997,14839.51807
2017-01-08 15:00:00,15.7,59.77,0.079,139.7,85.6,31880.50633,16810.94225,17164.33735
2017-01-09 10:00:00,15.74,57.88,0.077,236.9,112.3,29401.51899,18944.68085,14070.36145
2017-01-11 06:00:00,8.91,81.6,0.085,0.07,0.119,24273.41772,14403.64742,14683.37349
2017-01-13 17:00:00,16.37,72.2,0.068,115.5,116.9,33612.1519,20301.51976,16071.3253
2017-01-13 10:00:00,13.95,85.1,0.077,48.32,48.84,30057.72152,20341.64134,12283.37349
2017-01-15 15:00:00,18.57,50.3,0.086,419.7,456.4,30549.87342,17883.28267,17141.20482
2017-01-17 02:00:00,10.47,69.86,0.087,0.073,0.115,22924.55696,14064.43769,14793.25301
2017-01-17 11:00:00,12.12,61.7,0.082,383.3,348.6,33836.96203,18729.48328,17083.37349
2017-01-12 20:00:00,15.08,83.5,0.076,0.066,0.159,43424.81013,26407.29483,25393.73494
2017-01-06 05:00:00,7.95,88.9,0.08,0.04,0.156,21545.31646,14122.79635,14157.10843
2017-01-13 14:00:00,16.42,74.1,0.071,252.9,254.6,33490.63291,20753.79939,16175.42169
2017-01-10 07:00:00,14.46,78.8,0.079,0.055,0.204,25124.05063,15432.21884,14301.68675
2017-01-18 10:00:00,13.5,50.52,0.083,34.03,35.2,32330.12658,20826.74772,15712.77108
2017-01-10 03:00:00,14.62,78.1,0.076,0.04,0.152,22383.79747,13116.10942,13781.20482
2017-01-06 09:00:00,9.78,81.7,0.087,78.7,52.65,26995.44304,18127.65957,13029.39759
2017-01-18 12:00:00,14.04,48.31,0.08,151.9,154.1,37391.39241,23277.81155,18795.18072
2017-01-13 01:00:00,15.09,84.6,0.081,0.055,0.13,25731.64557,15771.42857,16013.49398
2017-01-19 12:00:00,10.37,66.81,0.082,141.6,146.2,34426.32911,23117.32523,17453.49398
2017-01-16 16:00:00,14.1,38.95,0.084,253.6,289.9,32287.59494,20553.19149,16267.95181
2017-01-13 03:00:00,14.85,85.9,0.084,0.055,0.159,22353.41772,13520.97264,13937.3494
2017-01-15 19:00:00,16.38,60.61,0.085,0.066,0.104,41431.89873,24113.06991,25463.13253
2017-01-13 06:00:00,13.37,85.0,0.071,0.055,0.171,24601.51899,15377.5076,14949.39759
2017-01-17 12:00:00,13.32,53.76,0.082,481.8,405.9,35276.96203,19068.69301,17511.3253
2017-01-15 04:00:00,10.34,88.0,0.083,0.051,0.163,16538.73418,16756.231,13775.42169
